LC_bodyId,LC_type,output_bodyId,output_type,X,Y,Z
1192736036,LC24,295816140,PDL10n_pct,9706,19133,19298
1781295424,LC24,296199021,PDM07on_pct,8674,19646,18850
1781295424,LC24,296199021,PDM07on_pct,9453,19365,18269
1781295424,LC24,296199021,PDM07on_pct,9750,22167,14773
1781295424,LC24,296199021,PDM07on_pct,9734,22149,14814
1781295424,LC24,296199021,PDM07on_pct,9458,19387,18331
979567244,LC24,296199021,PDM07on_pct,8239,20603,18303
979567244,LC24,296199021,PDM07on_pct,8259,20631,18289
979567244,LC24,296199021,PDM07on_pct,8987,22164,14858
979567244,LC24,296199021,PDM07on_pct,9013,22175,14904
1346788757,LC24,296199021,PDM07on_pct,8742,20155,18350
1346788757,LC24,296199021,PDM07on_pct,9297,22218,14520
1346788757,LC24,296199021,PDM07on_pct,8803,21860,15185
1346788757,LC24,296199021,PDM07on_pct,9418,22183,14702
1346788757,LC24,296199021,PDM07on_pct,8867,21872,15214
1346788757,LC24,296199021,PDM07on_pct,8871,21930,15132
1225791777,LC24,296199021,PDM07on_pct,8249,20115,18378
1225791777,LC24,296199021,PDM07on_pct,9273,19142,18591
1225791777,LC24,296199021,PDM07on_pct,8811,20083,18344
1225791777,LC24,296199021,PDM07on_pct,9232,19815,18507
1043005077,LC24,296199021,PDM07on_pct,8284,20095,18359
1349603861,LC24,296199021,PDM07on_pct,10065,19094,19617
2247202730,LC24,296199021,PDM07on_pct,9977,19073,19453
2247202730,LC24,296199021,PDM07on_pct,9559,19509,19565
5813039561,LC24,296199021,PDM07on_pct,10011,19127,19484
1131011511,LC24,296199021,PDM07on_pct,6919,19815,20005
1131011511,LC24,296199021,PDM07on_pct,9476,19531,19616
1254801742,LC24,296199021,PDM07on_pct,10047,19097,19455
1165085220,LC24,296199021,PDM07on_pct,9405,19606,17720
1192735693,LC24,296199021,PDM07on_pct,10110,19159,19647
1192735693,LC24,296199021,PDM07on_pct,10099,19165,19667
1192735693,LC24,296199021,PDM07on_pct,9300,19600,19645
1192736036,LC24,296199021,PDM07on_pct,9383,19624,19639
1192736036,LC24,296199021,PDM07on_pct,9908,19031,19333
1192736036,LC24,296199021,PDM07on_pct,9492,19549,19693
1192736036,LC24,296199021,PDM07on_pct,9925,19091,19234
1906116138,LC24,296199021,PDM07on_pct,9632,19324,17635
1256490709,LC24,296199021,PDM07on_pct,9437,19705,18493
