LC_bodyId,LC_type,output_bodyId,output_type,X,Y,Z
5813038822,LPLC2,447228814,PDL11oa_pct,8997,19688,26692
5813039136,LPLC2,447228814,PDL11oa_pct,9050,19680,26749
1719225241,LPLC2,792326206,ADL26i_pct,9781,20181,27494
1221971218,LPLC2,792326206,ADL26i_pct,11903,20932,26818
1221971218,LPLC2,792326206,ADL26i_pct,11941,20908,26561
1221971218,LPLC2,792326206,ADL26i_pct,11218,19939,26248
1221971218,LPLC2,792326206,ADL26i_pct,12278,21131,26854
1221971218,LPLC2,792326206,ADL26i_pct,12689,20422,26488
5812987894,LPLC2,792326206,ADL26i_pct,14083,22094,28520
5812987894,LPLC2,792326206,ADL26i_pct,12354,20901,27338
5812987894,LPLC2,792326206,ADL26i_pct,12924,21732,26150
5812987894,LPLC2,792326206,ADL26i_pct,12698,20433,26179
5812987894,LPLC2,792326206,ADL26i_pct,10997,20225,25585
1282007450,LPLC2,792326206,ADL26i_pct,10057,20591,28164
1282007450,LPLC2,792326206,ADL26i_pct,11927,21164,27845
1282007450,LPLC2,792326206,ADL26i_pct,10098,20311,28014
1283013506,LPLC2,792326206,ADL26i_pct,11942,21088,27798
1283013506,LPLC2,792326206,ADL26i_pct,11257,21329,26429
1283013506,LPLC2,792326206,ADL26i_pct,12306,20875,27131
1716496582,LPLC2,792326206,ADL26i_pct,11069,20917,28543
1716496582,LPLC2,792326206,ADL26i_pct,11639,21000,25902
1626827782,LPLC2,792326206,ADL26i_pct,11630,21113,26066
1626827782,LPLC2,792326206,ADL26i_pct,10378,20712,27541
1626827782,LPLC2,792326206,ADL26i_pct,11553,20167,26592
1626827782,LPLC2,792326206,ADL26i_pct,11726,21184,26551
1626827782,LPLC2,792326206,ADL26i_pct,12500,20693,26660
1626827782,LPLC2,792326206,ADL26i_pct,12740,21319,26284
1626827782,LPLC2,792326206,ADL26i_pct,12700,21367,26255
1626827782,LPLC2,792326206,ADL26i_pct,11423,20147,26555
1626827782,LPLC2,792326206,ADL26i_pct,11653,21196,26137
1626827782,LPLC2,792326206,ADL26i_pct,10276,21648,27940
1626827782,LPLC2,792326206,ADL26i_pct,12505,20925,26479
1876492837,LPLC2,792326206,ADL26i_pct,11928,21319,28576
1876492837,LPLC2,792326206,ADL26i_pct,12169,21258,28080
1343749180,LPLC2,792326206,ADL26i_pct,12345,20927,27387
1343749180,LPLC2,792326206,ADL26i_pct,15202,21037,26286
1343749180,LPLC2,792326206,ADL26i_pct,15481,21088,26784
1626482563,LPLC2,792326206,ADL26i_pct,12044,21225,27286
1626482563,LPLC2,792326206,ADL26i_pct,9772,20408,27458
