Row,LC17,LPLC2,LC4,LC25,LPLC1,LC18,LC15,LC11,LC21,LC12
LC17,0,54048.9186143299,71413.1962471813,55077.3952547562,77333.7241111278,35074.4594476251,45693.7994643741,55080.5789212855,54433.9182383626,27432.3311677921
LPLC2,54048.9186143299,0,19693.1416403407,59934.3443655275,26911.8337732458,30564.2625695357,67151.8904415947,34652.5835159195,46247.6623574941,31975.8219004252
LC4,71413.1962471813,19693.1416403407,0,78250.6507203149,26948.8856921529,50159.0267665113,86616.9843467571,51222.9269298218,63730.9594092406,49915.982756313
LC25,55077.3952547562,59934.3443655275,78250.6507203149,0,64327.5286072223,33347.9448358572,17997.7486938321,28576.3966291621,15624.1373048531,47067.1661053967
LPLC1,77333.7241111278,26911.8337732458,26948.8856921529,64327.5286072223,0,45982.5187340199,77139.6315701878,37028.7234917126,48791.2066560165,52694.1340168517
LC18,35074.4594476251,30564.2625695357,50159.0267665113,33347.9448358572,45982.5187340199,0,37059.9868682951,21576.9365480576,24119.3882492884,16531.7741108507
LC15,45693.7994643741,67151.8904415947,86616.9843467571,17997.7486938321,77139.6315701878,37059.9868682951,0,41599.1129571179,30268.4045807188,46306.8638448141
LC11,55080.5789212855,34652.5835159195,51222.9269298218,28576.3966291621,37028.7234917126,21576.9365480576,41599.1129571179,0,14458.2400873381,37339.1311907383
LC21,54433.9182383626,46247.6623574941,63730.9594092406,15624.1373048531,48791.2066560165,24119.3882492884,30268.4045807188,14458.2400873381,0,39349.6222510993
LC12,27432.3311677921,31975.8219004252,49915.982756313,47067.1661053967,52694.1340168517,16531.7741108507,46306.8638448141,37339.1311907383,39349.6222510993,0
