LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LC18,1158536635,1,PDL09j_b_pct,5812990958
LC18,1158536635,1,PDL09j_a_pct,5812985952
LC18,1158536635,1,PVL04r_pct,1136502893
LC18,1158536635,1,LC18,1722346327
LC18,1158536635,2,PDL09h_pct,1503733177
LC18,1158536635,3,AVL05r_pct,1507139129
LC18,1158536635,1,PVL04r_pct,1199556510
LC18,1158536635,1,AVL16i_pct,1692299350
LC18,1158536635,2,PVL03y_pct,943809606
LC18,1158536635,1,,1786793680
LC18,1158536635,2,AVL05ox_pct,1597204590
LC18,1158536635,1,AVL08f_pct,5813017914
LC18,1158536635,1,AVL19n_pct,1573612290
LC18,1158536635,2,AVL13ob_pct,1167537600
LC18,1158536635,1,LC18,1342022174
LC18,1158536635,1,LC18,1188548330
LC18,1158536635,1,AVL19p_pct,1542585886
LC18,1158536635,1,LC18,1594092024
LC18,1158536635,2,AVL19e_pct,1510851409
LC18,1158536635,1,AVL02s_pct,1476777923
LC18,1158536635,1,PVM01oz_pct,1073069488
LC18,1158536635,1,LC18,1560289552
LC18,1158536635,1,PVLP001,1068885266
LC18,1158536635,2,AVL10f_pct,1691298247
LC18,1158536635,1,LC18,1722670422
LC18,1158536635,1,LC18,1722005199
LC18,1158536635,1,AVL10c_pct,1539879164
LC18,1158536635,1,AVL13u_pct,1477148598
LC18,1158536635,1,LC18,1750980224
LC18,1158536635,5,PVL17b_pct,1449502965
LC18,1158536635,2,LC18,2119272595
LC18,1158536635,4,AVL05ox_pct,1691635022
LC18,1158536635,3,AVL16h_pct,1603260613
LC18,1158536635,4,,1594087386
LC18,1158536635,1,AVL02f_a_pct,1416766624
LC18,1158536635,1,AVL05ox_pct,5812991204
LC18,1158536635,2,ADL02oa_pct,1043143311
LC18,1158536635,1,LC18,1723023890
LC18,1158536635,2,PDL09j_a_pct,1375504361
LC18,1158536635,1,AVL19e_pct,1481547572
LC18,1158536635,1,AVL05r_pct,5901205169
LC18,1158536635,2,PVL07w_pct,1435791739
LC18,1158536635,2,AVL10q_pct,1722670598
LC18,1158536635,2,,1966860704
LC18,1158536635,2,AVL19f_pct,1600239500
LC18,1158536635,1,LC18,1717208400
LC18,1158536635,3,PVL03y_pct,1570245517
LC18,1158536635,1,LC18,1722336935
LC18,1158536635,3,AVL19f_pct,1601603665
LC18,1158536635,1,LC18,1722346362
LC18,1158536635,1,LC18,1722336465
LC18,1158536635,3,AVL10f_pct,5813046075
LC18,1158536635,1,LC18,1721659644
LC18,1158536635,1,AVL11y_a_pct,5813056622
LC18,1158536635,2,PVL03y_pct,1345860891
LC18,1158536635,4,AVL19e_pct,1482579456
LC18,1158536635,1,LC18,1651701899
LC18,1158536635,5,AVL05ox_pct,1630678904
LC18,1158536635,4,AVL10d_pct,1632309827
LC18,1158536635,2,,1661623550
LC18,1158536635,1,AVL02w_pct,1292635448
LC18,1158536635,2,AVL01i_pct,1222104921
LC18,1158536635,2,AVL08s_pct,1357097532
LC18,1158536635,3,AVL19q_pct,1448452947
LC18,1158536635,4,AVL10f_pct,5812994205
LC18,1158536635,3,,1722005213
LC18,1158536635,3,AVL19e_pct,1692304756
LC18,1158536635,2,AVL19f_pct,1571246774
LC18,1158536635,2,AVL05og_pct,1691310419
LC18,1158536635,1,LC18,1722333142
LC18,1158536635,1,LC18,1754041168
LC18,1158536635,1,ADL26b_pct,1013982515
LC18,1158536635,2,AVL19e_pct,1691638475
LC18,1158536635,1,PDL09i_pct,1346896720
LC18,1158536635,2,AVL25a_pct,1449835055
LC18,1158536635,1,,5901215834
LC18,1158536635,1,,1752703194
LC18,1158536635,2,LC18,1718231248
LC18,1158536635,6,PVL07w_pct,1374063129
LC18,1158536635,5,AVL10d_pct,1633337773
LC18,1158536635,17,PDM11w_pct,947923543
LC18,1158536635,1,,1691034393
LC18,1158536635,3,LC18,1722346846
LC18,1158536635,6,AVL19q_pct,1480524421
LC18,1158536635,3,PVL17b_pct,1659590563
LC18,1158536635,5,LC18,1718918218
LC18,1158536635,2,PVL05oz_pct,1540241926
LC18,1158536635,2,AVL05oi_pct,1508170799
LC18,1158536635,6,AVL05og_pct,1570565128
LC18,1188548330,1,PDL09h_pct,1503733177
LC18,1188548330,1,AVL10d_pct,1632309827
LC18,1188548330,1,AVL19e_pct,1482579456
LC18,1188548330,1,LC18,5812988294
LC18,1188548330,1,AVL19e_pct,1481547572
LC18,1188548330,1,PVM13g_pct,1476778177
LC18,1188548330,1,LC18,1718231248
LC18,1188548330,1,AVL03e_pct,1504437450
LC18,1188548330,1,AVL02w_pct,1292635448
LC18,1188548330,1,AVL05ox_pct,5812991204
LC18,1188548330,1,PVL05d_pct,5813023370
LC18,1188548330,2,LC18,5812989689
LC18,1188548330,1,LC18,1722336465
LC18,1188548330,1,ADL01ot_pct,1321564092
LC18,1188548330,1,LC18,1722346327
LC18,1188548330,2,AVL10d_pct,1633337773
LC18,1188548330,1,PVL07oi_pct,5813057579
LC18,1188548330,1,PVL03y_pct,943809606
LC18,1188548330,1,AVL24g_pct,1220270134
LC18,1188548330,4,ADL02oa_pct,1043143311
LC18,1188548330,3,LC18,1722346846
LC18,1188548330,1,LC18,1751330026
LC18,1188548330,2,AVL10f_pct,5812994205
LC18,1188548330,1,PVL17b_pct,1659590563
LC18,1188548330,1,PVL07w_pct,1374063129
LC18,1188548330,2,AVL05ox_pct,1630678904
LC18,1188548330,2,LC18,1723019231
LC18,1188548330,1,AVL10f_pct,1691298247
LC18,1188548330,2,,1722005213
LC18,1188548330,5,PVL07w_pct,1435791739
LC18,1188548330,3,PVM01oz_pct,1073069488
LC18,1188548330,1,LC18,1714134140
LC18,1188548330,2,AVL05og_pct,1691310419
LC18,1188548330,2,AVL19f_pct,1601603665
LC18,1188548330,1,,1448794542
LC18,1188548330,3,AVL05oi_pct,1508170799
LC18,1188548330,1,,1476868405
LC18,1188548330,1,LC18,1809302520
LC18,1188548330,1,AVL10d_pct,1447103034
LC18,1188548330,2,AVL19q_pct,1480524421
LC18,1188548330,2,AVL10f_pct,5813046075
LC18,1188548330,5,AVL05og_pct,1570565128
LC18,1188548330,1,LC18,1746884233
LC18,1188548330,2,LC18,1721659644
LC18,1188548330,1,AVL05t_pct,1690698128
LC18,1188548330,1,AVL19f_pct,1571246774
LC18,1188548330,2,AVL05ox_pct,1691635022
LC18,1188548330,1,AVL08f_pct,1355736858
LC18,1188548330,2,,1625463216
LC18,1188548330,1,,1752703194
LC18,1188548330,7,PDM11w_pct,947923543
LC18,1188548330,1,,1722341103
LC18,1158191622,1,AVL25a_pct,1449835055
LC18,1158191622,1,LC18,1753371564
LC18,1158191622,1,LC18,1751330026
LC18,1158191622,1,,1722686768
LC18,1158191622,1,,1966860704
LC18,1158191622,1,AVL19e_pct,1692304756
LC18,1158191622,1,LC18,5812989689
LC18,1158191622,1,LC18,5812996611
LC18,1158191622,1,AVL19e_pct,5813045465
LC18,1158191622,1,LC18,1722341820
LC18,1158191622,1,LC18,1717894837
LC18,1158191622,1,LC18,1754041168
LC18,1158191622,2,LC18,1722670151
LC18,1158191622,1,LC18,5901204412
LC18,1158191622,1,AVL05ox_pct,5812991204
LC18,1158191622,1,AVL05ox_pct,1597204590
LC18,1158191622,1,PVL05ot_pct,1630281172
LC18,1158191622,1,LC18,1753385655
LC18,1158191622,1,,1749274582
LC18,1158191622,2,AVL02f_a_pct,1355042626
LC18,1158191622,1,AVL19e_pct,1691638475
LC18,1158191622,5,AVL05ox_pct,1630678904
LC18,1158191622,2,AVL10f_pct,5812994205
LC18,1158191622,4,AVL16h_pct,1603260613
LC18,1158191622,3,AVL10q_pct,1722670598
LC18,1158191622,2,PVM01oz_pct,1073069488
LC18,1158191622,1,,1509496531
LC18,1158191622,1,PDL09x_pct,1344469603
LC18,1158191622,1,AVL19f_pct,1571246774
LC18,1158191622,1,AVL18z_pct,1662947570
LC18,1158191622,2,AVL08s_pct,1357097532
LC18,1158191622,1,,5901215834
LC18,1158191622,1,AVL10d_pct,1632309827
LC18,1158191622,3,PVL07w_pct,1374063129
LC18,1158191622,1,LC18,1723019231
LC18,1158191622,1,PVL05oh_pct,1477800608
LC18,1158191622,2,AVL19p_pct,1480525157
LC18,1158191622,3,AVL10d_pct,1447103034
LC18,1158191622,4,PVL07w_pct,1435791739
LC18,1158191622,3,AVL19q_pct,1448452947
LC18,1158191622,1,,1661623550
LC18,1158191622,2,LC18,1750980224
LC18,1158191622,3,LC18,1688211725
LC18,1158191622,2,AVL05t_pct,1690698128
LC18,1158191622,3,,1722005213
LC18,1158191622,1,LC18,1779972924
LC18,1158191622,2,AVL10q_pct,5812983517
LC18,1158191622,2,AVL19e_pct,1481547572
LC18,1158191622,1,PVL03y_pct,1345860891
LC18,1158191622,1,LC18,1722000978
LC18,1158191622,2,AVL05r_pct,1507139129
LC18,1158191622,2,AVL05r_pct,5901205169
LC18,1158191622,2,ADL26b_pct,1013982515
LC18,1158191622,2,,1722332519
LC18,1158191622,2,LC18,1871031444
LC18,1158191622,3,PVL17b_pct,1659590563
LC18,1158191622,1,LC18,1656839788
LC18,1158191622,4,PVL03y_pct,943809606
LC18,1158191622,2,AVL08f_pct,1355736858
LC18,1158191622,4,LC18,1722005199
LC18,1158191622,4,AVL19q_pct,1480524421
LC18,1158191622,1,LC18,1655475659
LC18,1158191622,6,LC18,1249936614
LC18,1158191622,2,LC18,1621003660
LC18,1158191622,5,AVL10d_pct,1633337773
LC18,1158191622,4,AVL05og_pct,1570565128
LC18,1158191622,1,AVL10r_pct,1566182902
LC18,1158191622,2,LC18,2119272595
LC18,1158191622,3,,1752703194
