LC.type,LC.bodyId,c.weight,output.type,output.bodyId
LPLC2,1719225241,1,LPLC2,1814781082
LPLC2,1719225241,1,,1661615014
LPLC2,1719225241,1,LPLC2,1815471919
LPLC2,1719225241,1,PDL18od_pct,1040013335
LPLC2,1719225241,1,LPLC2,1813403630
LPLC2,1719225241,1,AVM12q_pct,1785511781
LPLC2,1719225241,1,LPLC2,1691259738
LPLC2,1719225241,1,LPLC2,5813038821
LPLC2,1719225241,2,LPLC2,1814781537
LPLC2,1719225241,1,PVM01ot_pct,1469049500
LPLC2,1719225241,2,LPLC2,1719595635
LPLC2,1719225241,1,LPLC2,1343749180
LPLC2,1719225241,1,AVL05oz_pct,5813065458
LPLC2,1719225241,1,LPLC2,1809614687
LPLC2,1719225241,3,PVL03og_pct,1414694799
LPLC2,1719225241,1,LC4,1907156409
LPLC2,1719225241,1,LPLC2,1814414329
LPLC2,1719225241,2,PVL05le_pct,1846874089
LPLC2,1719225241,2,LPLC2,1814780768
LPLC2,1719225241,2,LPLC2,1815480848
LPLC2,1719225241,1,,1628973439
LPLC2,1719225241,2,PVL05ola_pct,5812980291
LPLC2,1719225241,1,LPLC2,1782369359
LPLC2,1719225241,1,LPLC2,1814426918
LPLC2,1719225241,3,LPLC2,1282007450
LPLC2,1719225241,2,AVL01og_pct,1754420857
LPLC2,1719225241,3,,1480222035
LPLC2,1719225241,2,PVL15p_pct,5813054347
LPLC2,1719225241,1,LC4,1845078711
LPLC2,1719225241,1,LPLC2,1437850908
LPLC2,1719225241,1,PVL15i_pct,1072059176
LPLC2,1719225241,3,LPLC2,1815826155
LPLC2,1719225241,2,LPLC2,1815126433
LPLC2,1719225241,4,LPLC2,1627131491
LPLC2,1719225241,1,,5812991035
LPLC2,1719225241,2,PVL05v_pct,1103102334
LPLC2,1719225241,1,AVL16w_pct,2037166913
LPLC2,1719225241,1,LPLC2,1751670748
LPLC2,1719225241,5,LPLC2,1467548306
LPLC2,1719225241,1,LPLC2,1783051578
LPLC2,1719225241,5,LPLC2,1682707330
LPLC2,1719225241,1,PVL05oc_pct,1497973422
LPLC2,1719225241,2,LPLC2,1813403762
LPLC2,1719225241,2,LPLC2,1845453234
LPLC2,1719225241,2,LPLC2,1283013506
LPLC2,1719225241,1,,5813059915
LPLC2,1719225241,1,AVL03oc_pct,1383383062
LPLC2,1719225241,3,LPLC2,5813046478
LPLC2,1719225241,1,LPLC2,1814781628
LPLC2,1719225241,6,LPLC2,5901214470
LPLC2,1719225241,2,LPLC2,1533683889
