N_out_bodyId,N_out_name,num_LC_synapsing,num_synapses,avg_synapses
1189606166,PDL09j_a_pct,227,3567,15.7136563876652
1189606310,PDL09j_a_pct,227,2834,12.4845814977974
1344469589,PDL09j_b_pct,227,2841,12.5154185022026
1375504361,PDL09j_a_pct,227,2584,11.3832599118943
1504437450,AVL03e_pct,227,6489,28.5859030837004
1660690370,AVL05oli_pct,227,2077,9.14977973568282
1663652072,AVL05ov_pct,227,5005,22.0484581497797
1691972267,AVL05ov_pct,227,5154,22.704845814978
5812985952,PDL09j_a_pct,227,3629,15.9867841409692
5812990958,PDL09j_b_pct,227,2451,10.7973568281938
1661273656,AVL19n_pct,226,1307,5.78318584070797
1374063129,PVL07w_pct,225,1312,5.83111111111111
1435791739,PVL07w_pct,225,1342,5.96444444444444
1690706380,AVL05ow_pct,225,1554,6.90666666666667
1503733177,PDL09h_pct,224,1243,5.54910714285714
1691630995,AVL16v_pct,224,1473,6.57589285714286
1723010562,AVL19n_pct,224,1312,5.85714285714286
1692299350,AVL16i_pct,223,1320,5.91928251121076
1721395841,AVL05ow_pct,223,1285,5.76233183856502
1539193374,AVL03os_pct,222,1039,4.68018018018018
1354394414,PVL05om_pct,221,1041,4.710407239819
1480525262,PVL07s_pct,221,877,3.9683257918552
1573612290,AVL19n_pct,221,1448,6.55203619909502
5812993355,,220,1126,5.11818181818182
1603260613,AVL16h_pct,218,1061,4.86697247706422
1753414458,,218,1072,4.91743119266055
1449486007,PVL07s_pct,215,984,4.57674418604651
1014344148,AVL03or_pct,214,816,3.81308411214953
1753410659,,202,733,3.62871287128713
1574980522,AVL19g_pct,201,659,3.27860696517413
1375845363,PDL09oa_pct,195,612,3.13846153846154
1601603665,AVL19f_pct,178,447,2.51123595505618
1600239500,AVL19f_pct,177,477,2.69491525423729
1879226079,,176,421,2.39204545454545
1690694192,AVL05t_pct,151,320,2.11920529801325
1414366899,,148,316,2.13513513513514
1691034393,,146,338,2.31506849315068
1690698128,AVL05t_pct,144,296,2.05555555555556
1848506334,,143,338,2.36363636363636
1630342162,AVL05t_pct,133,277,2.08270676691729
