Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_0426489829,0,0,0,0,0,46,24,3,0,0,0,0,0,0,0,0,0,0,0
bodyId_0485037749,0,0,0,0,0,20,2,8,0,0,0,0,0,0,0,2,3,0,0
bodyId_0486410031,0,0,0,0,0,19,8,6,6,5,0,0,0,0,40,0,0,0,0
bodyId_0519909788,0,0,0,0,0,34,60,1,0,0,0,0,0,0,0,0,0,0,0
bodyId_0575400910,0,0,0,0,0,23,5,20,1,0,0,0,0,0,0,0,0,0,0
bodyId_0581599704,0,0,0,0,0,58,18,13,3,5,0,0,0,0,0,0,0,0,0
bodyId_0638148241,0,0,0,1,0,2,22,2,9,0,0,0,0,0,0,0,0,0,0
bodyId_0644455046,0,0,2,0,19,0,0,0,0,0,0,30,0,0,0,0,0,0,0
bodyId_0665169278,0,0,0,0,0,1,0,28,10,1,0,0,0,0,0,0,0,0,0
bodyId_0670547617,0,0,0,0,0,3,28,0,12,0,1,0,0,0,0,0,0,1,0
bodyId_0675835107,0,0,5,0,26,0,0,0,0,0,0,3,0,0,0,1,0,18,0
bodyId_0676479217,0,0,0,69,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0
bodyId_0695465316,0,0,0,0,0,19,13,0,1,0,0,0,0,0,0,0,0,0,0
bodyId_0707116522,0,0,0,0,21,0,0,0,0,0,0,11,0,0,0,0,0,0,0
bodyId_0731736853,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,65,0
bodyId_0733649312,0,0,0,0,0,59,2,22,1,2,0,0,0,0,0,0,0,0,0
bodyId_0737218700,0,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,0,8,0
bodyId_0759960572,0,0,0,0,0,1,0,29,8,1,0,0,0,0,0,0,0,0,0
bodyId_0760306167,0,0,0,0,0,17,2,40,16,1,0,0,0,0,0,0,0,0,0
bodyId_0765021328,0,0,0,0,0,24,0,1,11,0,0,0,0,0,0,0,0,0,0
bodyId_0765028935,0,0,0,0,0,21,3,1,4,0,0,0,0,0,0,0,0,0,0
bodyId_0768806088,0,0,0,0,0,61,14,10,1,6,0,0,0,0,0,0,0,0,0
bodyId_0769263962,0,0,0,3,0,55,47,2,0,0,0,0,0,0,0,0,0,0,0
bodyId_0792326206,0,82,66,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0
bodyId_0793815358,0,0,0,0,31,0,0,0,0,0,0,16,0,0,0,0,0,0,0
bodyId_0796431821,0,0,0,0,0,1,0,20,7,0,0,0,0,0,0,0,0,0,0
bodyId_0797796343,0,0,0,0,0,64,1,32,0,1,0,0,0,0,0,0,0,0,0
bodyId_0821344462,0,0,0,0,0,16,14,0,4,0,2,0,0,0,0,0,0,0,0
bodyId_0828826327,0,0,0,0,0,65,49,2,0,0,0,0,0,0,0,0,0,0,0
bodyId_0855526852,0,59,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0858842517,0,0,0,0,0,14,52,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0889531496,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
bodyId_0889540433,0,0,0,1,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0889838921,0,3,25,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
bodyId_0912290165,0,0,0,0,0,56,32,3,1,7,0,0,0,0,0,0,1,0,0
bodyId_0915105429,0,74,0,31,1,13,1,0,2,0,1,0,34,1,0,3,0,0,0
bodyId_0915179102,0,0,4,0,8,0,2,5,0,0,22,0,1,0,0,0,0,2,0
bodyId_0915503330,0,0,0,0,15,0,0,0,0,0,2,9,0,0,0,0,0,0,0
bodyId_0915528488,0,0,35,0,22,0,0,0,0,0,0,35,0,4,0,0,0,0,0
bodyId_0915549815,0,0,0,0,40,0,0,0,0,0,0,26,0,0,0,0,0,0,0
bodyId_0943809606,0,0,0,0,0,0,0,0,0,0,1,0,0,84,0,3,52,0,1
bodyId_0946209663,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,33,0
bodyId_0954023855,0,58,25,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
