Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_0426489829,0,0,0,0,0,94,34,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0485037749,0,0,0,0,0,23,0,11,0,0,0,0,0,0,0,0,0,0,0
bodyId_0486410031,0,0,0,0,0,25,0,0,0,0,0,0,0,0,65,0,0,0,0
bodyId_0519909788,0,0,0,0,0,59,278,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0575400910,0,0,0,0,0,27,0,38,0,0,0,0,0,0,0,0,0,0,0
bodyId_0581599704,0,0,0,0,0,133,22,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0638148241,0,0,0,0,0,0,35,0,14,0,0,0,0,0,0,0,0,0,0
bodyId_0644455046,0,0,0,0,24,0,0,0,0,0,0,97,0,0,0,0,0,0,0
bodyId_0665169278,0,0,0,0,0,0,0,66,15,0,0,0,0,0,0,0,0,0,0
bodyId_0670547617,0,0,0,0,0,0,51,0,16,0,0,0,0,0,0,0,0,0,0
bodyId_0675835107,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,27,0
bodyId_0676479217,0,0,0,285,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0695465316,0,0,0,0,0,25,17,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0707116522,0,0,0,0,161,0,0,0,0,0,0,35,0,0,0,0,0,0,0
bodyId_0731736853,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,209,0
bodyId_0733649312,0,0,0,0,0,133,0,51,0,0,0,0,0,0,0,0,0,0,0
bodyId_0737218700,0,0,0,0,17,0,0,0,0,0,0,107,0,0,0,0,0,0,0
bodyId_0759960572,0,0,0,0,0,0,0,55,9,0,0,0,0,0,0,0,0,0,0
bodyId_0760306167,0,0,0,0,0,0,0,813,148,0,0,0,0,0,0,0,0,0,0
bodyId_0765021328,0,0,0,0,0,37,0,0,15,0,0,0,0,0,0,0,0,0,0
bodyId_0765028935,0,0,0,0,0,32,0,0,5,0,0,0,0,0,0,0,0,0,0
bodyId_0768806088,0,0,0,0,0,168,21,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0769263962,0,0,0,0,0,121,122,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0792326206,0,474,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0793815358,0,0,0,0,103,0,0,0,0,0,0,45,0,0,0,0,0,0,0
bodyId_0796431821,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0
bodyId_0797796343,0,0,0,0,0,132,0,61,0,0,0,0,0,0,0,0,0,0,0
bodyId_0821344462,0,0,0,0,0,25,18,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0828826327,0,0,0,0,0,148,125,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0855526852,0,139,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0858842517,0,0,0,0,0,23,132,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0889531496,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
bodyId_0889540433,0,0,0,0,0,41,6,0,0,0,0,0,0,0,0,0,0,0,0
