Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_0426494132,0,0,0,0,0,1.31818181818182,1.4,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0
bodyId_0543692985,0,0,0,0,0,0,0,7.025,2.78947368421053,0,0,0,1.96153846153846,0,0,0,0,0,0
bodyId_0544383511,0,0,0,0,0,0,1,1.33333333333333,1.33333333333333,0,0,0,0,0,0,0,0,0,0
bodyId_0581599674,0,0,0,0,0,1.52,1.56521739130435,3.23684210526316,0,0,0,0,0,0,0,0,0,0,0
bodyId_0605762571,0,0,0,0,0,1.38888888888889,1,1.30769230769231,0,0,0,0,0,0,0,0,0,0,0
bodyId_0667184255,0,0,0,0,0,1.28571428571429,0,1.83333333333333,3.91666666666667,0,0,0,0,0,0,0,0,0,0
bodyId_0702760942,0,0,0,0,2.05,0,0,1.88461538461538,0,1.09090909090909,0,0,0,0,0,0,0,0,0
bodyId_0727889637,0,0,0,0,0,0,0,1.90909090909091,2.18181818181818,1.14285714285714,0,0,0,0,0,0,0,0,0
bodyId_0732600113,0,0,0,0,0,1.28571428571429,0,1.45454545454545,1.9,0,0,0,0,0,0,0,0,0,0
bodyId_0770585045,0,0,0,0,2,0,0,0,0,1.45454545454545,0,0,0,0,2,0,0,0,0
bodyId_0797424771,0,0,0,0,0,1.70967741935484,1.3125,0,0,0,0,0,0,0,1.76315789473684,0,0,0,0
bodyId_0821003563,0,0,0,0,0,0,0,1.27272727272727,2.125,0,2.66666666666667,0,0,0,0,0,0,0,0
bodyId_0826062651,0,0,0,0,0,0,1.71428571428571,0,0,1.33333333333333,0,0,0,0,1.36363636363636,0,0,0,0
bodyId_0854093627,0,0,0,0,0,1.59375,0,1.31578947368421,2.36,0,0,0,0,0,0,0,0,0,0
bodyId_0884446447,0,0,0,0,0,0,0,1.1,1.71428571428571,0,2.66666666666667,0,0,0,0,0,0,0,0
bodyId_0884477487,0,0,0,0,3,0,0,0,0,0,0,13.6388888888889,0,0,0,4.32203389830508,0,0,0
bodyId_0912601209,1.36231884057971,1.28571428571429,0,0,0,1.40740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0947573616,0,0,2,1.15,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_0950928506,0,0,0,0,0,0,1.28571428571429,1.53846153846154,3.125,0,0,0,0,0,0,0,0,0,0
bodyId_0974788614,0,0,0,0,1.5,1.4,0,0,0,0,0,1.8125,0,0,0,0,0,0,0
bodyId_1005149651,0,0,0,0,0,0,0,0,1.95833333333333,0,1.78571428571429,0,0,0,0,0,0,1.23076923076923,0
bodyId_1005857944,0,0,0,0,0,1.58333333333333,0,0,0,0,0,0,0,0,0,1.56521739130435,0,1.63414634146341,0
bodyId_1009984360,0,0,2.05555555555556,0,2.38095238095238,0,0,0,0,0,0,2.55555555555556,0,0,0,0,0,0,0
bodyId_1038938989,0,0,0,0,0,1.55555555555556,0,0,0,0,0,0,0,0,1.83783783783784,0,1.4,0,0
bodyId_1043066007,0,0,0,3.5,0,1.68181818181818,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1068885266,5.97814207650273,8.77647058823529,5.42647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1069632261,0,0,0,0,0,0,0,1,1.25,2.06666666666667,0,0,0,0,0,0,0,0,0
bodyId_1070950293,2.07352941176471,7.21428571428571,3.36764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1072059176,0,1.42857142857143,0,1.375,0,0,1.625,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1130714433,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.81081081081081,0,1.64285714285714,0,0
bodyId_1161399526,0,0,0,0,1.5,0,0,0,0,1.75,0,0,0,0,1.8,0,0,0,0
bodyId_1167546166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56756756756757,2.04878048780488,1.675,0,0
bodyId_1221457679,0,0,0,0,2.43478260869565,0,0,0,0,0,2.79166666666667,0,0,0,0,0,3.43055555555556,0,0
bodyId_1227135350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69090909090909,2.23214285714286,3.28787878787879,0,0
bodyId_1259895761,0,0,0,0,0,1.6,0,1.95652173913043,0,0,0,0,0,0,0,2.16666666666667,0,0,0
bodyId_1312061760,1.68421052631579,0,0,0,0,0,3.65957446808511,0,0,0,0,0,0,0,1.28125,0,0,0,0
bodyId_1318304936,0,0,0,0,1.81818181818182,0,0,0,0,0,0,1.75,0,0,0,1.25,0,0,0
bodyId_1321564092,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44827586206897,1.38461538461538,1.5625,0,0,0
bodyId_1346896720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,4.53424657534247,0,1.80555555555556
bodyId_1347642883,0,0,2.67741935483871,0,3.58823529411765,0,0,0,0,0,0,3.03703703703704,0,0,0,0,0,0,0
bodyId_1374063129,11.7150537634409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1549295774648,0,0,5.83111111111111
bodyId_1378251040,0,1,0,0,0,0,0,0,0,0,0,0,1.2,0,0,1.07692307692308,0,0,0
bodyId_1385093648,0,0,0,1.76,0,0,0,0,0,0,0,0,2.90909090909091,0,0,2.68965517241379,0,0,0
bodyId_1406911688,0,2.45762711864407,0,0,0,0,0,0,0,0,0,0,1.68421052631579,0,0,1.65116279069767,0,0,0
bodyId_1420172582,1.63736263736264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41379310344828,0,0,1.46666666666667
bodyId_1445773652,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38461538461538,0,0,1.66666666666667
bodyId_1471337627,0,0,0,0,0,0,0,0,0,0,0,0,1.67857142857143,0,1.46666666666667,0,1.33333333333333,0,0
bodyId_1474084639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375,1.67857142857143,1.36363636363636,0,0
bodyId_1474424990,1.5375,1.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57894736842105,0,0
bodyId_1476777923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15384615384615,2.5,1.83673469387755,0,0
bodyId_1476868405,0,2.32432432432432,2.37037037037037,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
bodyId_1477148598,1.94392523364486,0,0,0,0,0,0,0,0,0,0,0,0,1.68181818181818,0,0,3.10714285714286,0,0
bodyId_1480525330,0,2.06818181818182,0,0,0,0,0,0,0,1.23076923076923,0,0,0,0,0,1.4,0,0,0
bodyId_1503733177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46376811594203,4.4375,0,5.54910714285714
bodyId_1508132976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.125,1.46153846153846,0,0
bodyId_1511888459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11111111111111,1.92857142857143,1.88,0,0
bodyId_1533481571,0,0,0,0,2.11111111111111,0,0,0,0,0,0,1.94444444444444,1.57142857142857,0,0,0,0,0,0
bodyId_1534850246,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.43478260869565,0,1.46666666666667,0
bodyId_1535791554,0,1.36666666666667,0,0,0,0,0,0,0,0,0,0,1.30434782608696,0,0,1.16,0,0,0
bodyId_1539496112,1.69148936170213,1.80555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80769230769231,0,0
bodyId_1539879164,0,0,0,0,0,0,0,0,0,0,0,0,2.05,1.79487179487179,0,2,0,0,0
bodyId_1540216055,0,1.27777777777778,1.84210526315789,0,0,0,0,0,0,0,0,0,1.42857142857143,0,0,0,0,0,0
bodyId_1564157830,0,0,0,0,2,0,0,0,0,0,0,2,1.44444444444444,0,0,0,0,0,0
bodyId_1565846637,0,0,13.6478873239437,0,21.7608695652174,0,0,0,0,0,0,0,22.5166666666667,0,0,0,0,0,0
