Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
LC17,16,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,11
LPLC2,5,10,15,3,0,1,1,0,0,0,0,0,4,1,2,0,0,0,0
LC4,0,15,45,3,4,0,1,0,0,0,0,1,8,9,0,0,0,0,2
LC9,0,3,3,30,1,1,8,0,0,0,0,1,0,0,0,11,0,0,0
LPLC4,0,0,4,1,39,0,1,0,0,0,5,57,1,0,0,0,0,15,0
LC16,0,1,0,1,0,34,19,4,3,1,0,0,0,0,4,2,1,0,0
LC6,0,1,1,8,1,19,33,4,2,0,0,0,1,0,5,0,1,0,0
LC26,0,0,0,0,0,4,4,4,7,0,0,0,0,0,0,2,0,0,0
LC24,0,0,0,0,0,3,2,7,16,0,0,0,0,0,0,0,0,0,0
LC25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0
LC20,0,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,0,0
LC22,0,0,1,1,57,0,0,0,0,0,1,3,0,0,0,0,0,0,0
LPLC1,0,4,8,0,1,0,1,0,0,0,0,0,32,3,0,10,0,0,0
LC18,0,1,9,0,0,0,0,0,0,0,0,0,3,37,2,10,2,0,12
LC15,2,2,0,0,0,4,5,0,0,4,0,0,0,2,12,5,18,0,0
LC11,3,0,0,11,0,2,0,2,0,0,0,0,10,10,5,40,12,1,0
LC21,1,0,0,0,0,1,1,0,0,2,0,0,0,2,18,12,24,2,0
LC13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,2,24,0
LC12,11,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,33
