Row,LC17,LPLC2,LC4,LC25,LPLC1,LC18,LC15,LC11,LC21,LC12
LC17,0,54048.91861,71413.19625,55077.39525,77333.72411,35074.45945,45693.79946,55080.57892,54433.91824,27432.33117
LPLC2,54048.91861,0,19693.14164,59934.34437,26911.83377,30564.26257,67151.89044,34652.58352,46247.66236,31975.8219
LC4,71413.19625,19693.14164,0,78250.65072,26948.88569,50159.02677,86616.98435,51222.92693,63730.95941,49915.98276
LC25,55077.39525,59934.34437,78250.65072,0,64327.52861,33347.94484,17997.74869,28576.39663,15624.1373,47067.16611
LPLC1,77333.72411,26911.83377,26948.88569,64327.52861,0,45982.51873,77139.63157,37028.72349,48791.20666,52694.13402
LC18,35074.45945,30564.26257,50159.02677,33347.94484,45982.51873,0,37059.98687,21576.93655,24119.38825,16531.77411
LC15,45693.79946,67151.89044,86616.98435,17997.74869,77139.63157,37059.98687,0,41599.11296,30268.40458,46306.86384
LC11,55080.57892,34652.58352,51222.92693,28576.39663,37028.72349,21576.93655,41599.11296,0,14458.24009,37339.13119
LC21,54433.91824,46247.66236,63730.95941,15624.1373,48791.20666,24119.38825,30268.40458,14458.24009,0,39349.62225
LC12,27432.33117,31975.8219,49915.98276,47067.16611,52694.13402,16531.77411,46306.86384,37339.13119,39349.62225,0
